,l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
2600,2565,1144,53,3,34,35534.76,0.06,0.06,N,O,1998-03-19,1998-04-12,1998-04-17,DELIVER IN PERSON,SHIP,nstructions was carefu
2601,2565,163,42,4,25,26579.0,0.1,0.08,N,O,1998-06-27,1998-05-20,1998-07-13,DELIVER IN PERSON,RAIL,", express accounts. final id"
2602,2565,755,56,5,26,43049.5,0.08,0.03,N,O,1998-03-05,1998-04-11,1998-03-11,TAKE BACK RETURN,AIR,ites wake. ironic acco
2603,2565,1402,81,6,48,62563.2,0.08,0.07,N,O,1998-06-18,1998-05-06,1998-07-13,DELIVER IN PERSON,TRUCK,r instructions sleep qui
2604,2566,1473,13,1,19,26114.93,0.06,0.07,R,F,1992-12-21,1992-11-24,1992-12-22,DELIVER IN PERSON,MAIL,ests. silent
2605,2566,1805,35,2,42,71685.6,0.08,0.02,R,F,1992-12-20,1992-12-22,1992-12-29,COLLECT COD,MAIL,ously ironic accounts
2606,2566,227,55,3,18,20289.96,0.09,0.02,A,F,1992-11-16,1992-12-24,1992-12-16,COLLECT COD,FOB, braids according t
2607,2566,415,45,4,3,3946.23,0.05,0.02,A,F,1992-11-04,1992-12-30,1992-12-04,TAKE BACK RETURN,FOB,ckages are ironic Tiresias. furious
2608,2566,213,14,5,9,10018.89,0.04,0.03,R,F,1992-12-14,1992-12-28,1992-12-16,NONE,FOB,blithely bold accounts? quickl
2609,2566,1275,13,6,1,1176.27,0.07,0.03,A,F,1992-10-28,1992-11-20,1992-11-22,TAKE BACK RETURN,AIR,theodolites wake pending
2610,2567,258,40,1,39,45171.75,0.03,0.04,N,O,1998-05-10,1998-05-10,1998-05-21,NONE,SHIP,ns. furiously final dependencies cajo
2611,2567,1119,20,2,50,51005.5,0.06,0.05,N,O,1998-05-05,1998-04-18,1998-05-09,DELIVER IN PERSON,TRUCK,. carefully pending foxes are furi
2612,2567,517,48,3,6,8505.06,0.03,0.06,N,O,1998-04-21,1998-04-14,1998-05-11,NONE,RAIL,"s cajole regular, final acco"
2613,2567,1576,17,4,50,73878.5,0.05,0.03,N,O,1998-03-27,1998-05-25,1998-04-23,DELIVER IN PERSON,FOB,pinto beans? r
2614,2567,804,4,5,46,78420.8,0.07,0.02,N,O,1998-06-02,1998-04-30,1998-06-13,COLLECT COD,AIR,efully pending epitaphs. carefully reg
2615,2567,995,64,6,32,60671.68,0.01,0.07,N,O,1998-05-24,1998-04-30,1998-06-14,NONE,RAIL," the even, iro"
2616,2567,1344,21,7,43,53549.62,0.06,0.02,N,O,1998-05-11,1998-04-15,1998-05-29,NONE,RAIL,requests. final courts cajole 
2617,2592,897,98,1,7,12585.23,0.1,0.04,R,F,1993-03-13,1993-04-25,1993-04-01,NONE,REG AIR, carefully special theodolites integrate 
2618,2592,657,51,2,2,3115.3,0.1,0.0,A,F,1993-03-24,1993-04-05,1993-04-16,DELIVER IN PERSON,RAIL,side of the b
2619,2593,1041,47,1,37,34855.48,0.08,0.06,R,F,1993-12-14,1993-10-08,1994-01-04,NONE,SHIP,s wake bravel
2620,2593,892,92,2,28,50200.92,0.08,0.03,A,F,1993-10-30,1993-10-18,1993-11-06,DELIVER IN PERSON,SHIP,y even escapades shall
2621,2593,1271,9,3,6,7033.62,0.04,0.05,A,F,1993-11-28,1993-10-04,1993-12-28,TAKE BACK RETURN,REG AIR,ular packages. re
2622,2593,1601,43,4,44,66114.4,0.02,0.08,A,F,1993-09-05,1993-10-23,1993-09-29,NONE,RAIL,ents impress furiously; unusual theodoli
2623,2593,35,36,5,3,2805.09,0.03,0.0,A,F,1993-12-16,1993-11-01,1993-12-29,COLLECT COD,SHIP,the furiously 
2624,2593,1746,47,6,1,1647.74,0.08,0.08,A,F,1993-11-23,1993-10-25,1993-12-04,DELIVER IN PERSON,RAIL, accounts wake slyly 
2625,2593,1914,3,7,11,19975.01,0.0,0.07,R,F,1993-11-01,1993-11-19,1993-11-28,TAKE BACK RETURN,RAIL,express packages sleep bold re
2626,2594,715,16,1,7,11309.97,0.06,0.02,R,F,1993-03-26,1993-03-05,1993-04-24,DELIVER IN PERSON,FOB,arls cajole 
2627,2594,1232,70,2,13,14731.99,0.1,0.05,R,F,1993-02-06,1993-03-01,1993-02-23,TAKE BACK RETURN,TRUCK,fully special accounts use courts
2628,2594,1255,93,3,24,27750.0,0.03,0.0,A,F,1993-01-31,1993-03-10,1993-02-04,COLLECT COD,REG AIR,lar accounts sleep fur
2629,2594,1440,19,4,46,61706.24,0.0,0.08,R,F,1993-04-17,1993-03-06,1993-04-21,TAKE BACK RETURN,SHIP,beans. instructions across t
2630,2595,610,11,1,42,63445.62,0.08,0.02,N,O,1996-03-24,1996-01-28,1996-04-10,DELIVER IN PERSON,MAIL,ggle furiou
2631,2595,871,5,2,30,53156.1,0.05,0.01,N,O,1996-03-05,1996-02-23,1996-03-19,NONE,AIR,ctions. regula
2632,2595,234,89,3,19,21550.37,0.01,0.05,N,O,1995-12-23,1996-03-02,1996-01-17,COLLECT COD,MAIL,ns are neve
2633,2595,1588,9,4,29,43197.82,0.07,0.05,N,O,1996-01-01,1996-02-13,1996-01-18,TAKE BACK RETURN,RAIL,ronic accounts haggle carefully fin
2634,2595,851,18,5,30,52555.5,0.09,0.07,N,O,1996-03-16,1996-01-31,1996-04-05,TAKE BACK RETURN,FOB,. final orbits cajole 
2635,2595,819,19,6,31,53314.11,0.06,0.04,N,O,1996-02-07,1996-02-10,1996-03-05,DELIVER IN PERSON,AIR,tipliers w
2636,2596,1695,19,1,6,9580.14,0.05,0.01,N,O,1996-12-15,1996-11-02,1996-12-29,TAKE BACK RETURN,TRUCK,ily special re
2637,2596,1389,66,2,43,55486.34,0.07,0.03,N,O,1996-09-03,1996-10-26,1996-09-15,NONE,FOB,ial packages haggl
2638,2596,385,14,3,19,24422.22,0.1,0.0,N,O,1996-09-02,1996-11-03,1996-09-06,COLLECT COD,AIR,ias mold! sp
2639,2596,1043,44,4,10,9440.4,0.06,0.05,N,O,1996-08-25,1996-11-05,1996-09-13,DELIVER IN PERSON,REG AIR, instructions shall have
2640,2597,838,5,1,24,41731.92,0.07,0.0,A,F,1993-05-15,1993-03-06,1993-05-25,TAKE BACK RETURN,FOB,pending packages. enticingly fi
2641,2598,70,46,1,12,11640.84,0.0,0.01,N,O,1996-06-17,1996-04-12,1996-06-24,COLLECT COD,TRUCK,express packages nag sly
2642,2598,1471,89,2,40,54898.8,0.07,0.02,N,O,1996-05-11,1996-05-19,1996-06-08,TAKE BACK RETURN,AIR,the enticing
2643,2598,1038,9,3,4,3756.12,0.03,0.03,N,O,1996-05-23,1996-05-13,1996-05-25,COLLECT COD,AIR, across the furiously fi
2644,2598,221,76,4,19,21303.18,0.02,0.0,N,O,1996-04-09,1996-05-30,1996-04-17,TAKE BACK RETURN,RAIL,nic packages. even accounts
2645,2598,1060,66,5,12,11532.72,0.01,0.08,N,O,1996-04-14,1996-04-24,1996-04-21,TAKE BACK RETURN,REG AIR,eposits cajol
2646,2599,1008,44,1,11,9999.0,0.08,0.08,N,O,1997-02-01,1996-12-14,1997-02-27,TAKE BACK RETURN,FOB, express accoun
2647,2599,414,73,2,26,34174.66,0.03,0.04,N,O,1996-11-08,1996-12-21,1996-11-24,TAKE BACK RETURN,AIR,nag carefully 
2648,2599,989,90,3,29,54809.42,0.09,0.03,N,O,1997-01-10,1996-12-10,1997-02-02,COLLECT COD,RAIL,"ly express dolphins. special, "
2649,2624,625,88,1,15,22884.3,0.03,0.07,N,O,1997-02-28,1997-02-19,1997-03-21,DELIVER IN PERSON,AIR,le. quickly pending requests
2650,2624,1887,88,2,12,21466.56,0.07,0.0,N,O,1997-02-24,1997-02-22,1997-02-27,DELIVER IN PERSON,SHIP,er the quickly unu
2651,2625,194,95,1,42,45955.98,0.02,0.04,R,F,1992-10-18,1992-11-17,1992-10-23,DELIVER IN PERSON,AIR, even accounts haggle furiously
2652,2626,215,97,1,45,50184.45,0.09,0.04,N,O,1995-11-22,1995-11-01,1995-11-23,NONE,AIR,deposits wake blithely according to 
2653,2626,1744,71,2,2,3291.48,0.05,0.07,N,O,1995-10-19,1995-11-09,1995-10-24,TAKE BACK RETURN,FOB,uffy accounts haggle furiously above
2654,2626,1534,75,3,40,57421.2,0.05,0.07,N,O,1995-09-28,1995-12-03,1995-10-10,NONE,REG AIR,eans. ironic deposits haggle. depo
2655,2627,1306,21,1,28,33804.4,0.09,0.02,R,F,1992-05-14,1992-05-09,1992-05-31,COLLECT COD,SHIP,ggedly final excuses nag packages. f
2656,2628,1059,95,1,44,42242.2,0.07,0.03,R,F,1994-01-11,1994-01-14,1994-01-13,DELIVER IN PERSON,SHIP,"lyly final, pending ide"
2657,2628,1055,91,2,14,13384.7,0.01,0.03,A,F,1994-01-28,1993-11-30,1994-02-20,TAKE BACK RETURN,SHIP,g the furiously unusual pi
2658,2628,639,33,3,42,64664.46,0.0,0.0,A,F,1993-11-20,1994-01-04,1993-12-19,DELIVER IN PERSON,TRUCK,ld notornis alongside 
2659,2628,941,76,4,23,42364.62,0.08,0.04,A,F,1993-10-27,1994-01-08,1993-11-12,DELIVER IN PERSON,TRUCK,usual packages sleep about the fina
2660,2628,900,34,5,50,90045.0,0.07,0.01,A,F,1994-01-13,1993-12-11,1994-01-14,NONE,AIR,posits serve carefully toward 
2661,2629,1179,80,1,6,6481.02,0.06,0.05,N,O,1998-06-10,1998-05-29,1998-06-13,DELIVER IN PERSON,SHIP,dolites hinder bli
2662,2629,1231,43,2,31,35099.13,0.08,0.03,N,O,1998-05-24,1998-05-26,1998-06-10,COLLECT COD,AIR,"ate blithely bold, regular deposits. bold"
2663,2629,1275,76,3,29,34111.83,0.08,0.07,N,O,1998-07-09,1998-06-17,1998-07-12,TAKE BACK RETURN,AIR,"eposits serve unusual, express i"
2664,2629,694,88,4,33,52624.77,0.06,0.03,N,O,1998-05-29,1998-05-14,1998-05-30,NONE,TRUCK,es. slowly express accounts are along the
2665,2630,285,40,1,46,54522.88,0.05,0.03,R,F,1992-11-05,1992-12-17,1992-12-05,TAKE BACK RETURN,MAIL,uests cajole. e
2666,2630,563,24,2,8,11708.48,0.09,0.07,A,F,1992-11-16,1993-01-01,1992-12-07,DELIVER IN PERSON,TRUCK,"indle fluffily silent, ironic pi"
2667,2630,1727,12,3,45,73292.4,0.08,0.07,A,F,1993-01-04,1993-01-11,1993-01-09,NONE,FOB,edly express ideas. carefully final 
2668,2630,1616,99,4,29,44010.69,0.08,0.07,A,F,1992-12-03,1993-01-04,1992-12-12,DELIVER IN PERSON,SHIP,efully unusual dependencies. even i
2669,2631,1217,55,1,42,46964.82,0.0,0.03,A,F,1994-01-04,1993-12-01,1994-01-16,TAKE BACK RETURN,SHIP,ect carefully at the furiously final the
2670,2631,666,29,2,4,6266.64,0.07,0.06,R,F,1993-11-03,1993-12-17,1993-11-05,COLLECT COD,AIR,special theodolites. a
2671,2631,1179,88,3,15,16202.55,0.06,0.05,A,F,1993-09-30,1993-11-06,1993-10-13,DELIVER IN PERSON,SHIP,y. furiously even pinto be
2672,2656,1807,51,1,10,17088.0,0.02,0.06,R,F,1993-06-28,1993-07-04,1993-07-12,TAKE BACK RETURN,TRUCK,s nag regularly about the deposits. slyly
2673,2656,1369,70,2,38,48273.68,0.07,0.02,A,F,1993-06-25,1993-06-04,1993-07-24,NONE,RAIL,structions wake along the furio
2674,2656,13,39,3,19,17347.19,0.03,0.02,R,F,1993-08-03,1993-07-25,1993-08-20,TAKE BACK RETURN,MAIL,ts serve deposi
2675,2656,1093,29,4,40,39763.6,0.05,0.04,R,F,1993-06-09,1993-07-24,1993-06-21,DELIVER IN PERSON,RAIL,refully final pearls. final ideas wake. qu
2676,2657,1144,81,1,22,22993.08,0.02,0.03,N,O,1995-12-08,1995-12-28,1995-12-21,TAKE BACK RETURN,MAIL,r ideas. furiously special dolphins
2677,2657,1649,32,2,15,23259.6,0.08,0.05,N,O,1995-12-09,1995-12-16,1995-12-18,NONE,RAIL,ole carefully above the ironic ideas. b
2678,2657,783,16,3,25,42094.5,0.02,0.04,N,O,1995-10-21,1995-12-12,1995-11-09,COLLECT COD,FOB,lly pinto beans. final 
2679,2657,549,40,4,11,15944.94,0.04,0.08,N,O,1995-11-19,1995-12-11,1995-11-24,COLLECT COD,TRUCK,ckly enticing requests. fur
2680,2657,777,78,5,42,70466.34,0.06,0.03,N,O,1996-01-23,1995-11-22,1996-01-25,COLLECT COD,RAIL,ckly slyly even accounts. platelets x-ray
2681,2657,1932,21,6,31,56851.83,0.01,0.03,N,O,1995-11-10,1995-11-27,1995-12-06,COLLECT COD,RAIL,re blithely 
2682,2658,1312,13,1,41,49745.71,0.05,0.04,N,O,1995-11-07,1995-11-04,1995-12-04,NONE,MAIL,eposits. furiously final theodolite
2683,2658,286,14,2,22,26098.16,0.08,0.05,N,O,1995-11-12,1995-11-18,1995-11-14,DELIVER IN PERSON,TRUCK,ts cajole. pending packages affix
2684,2658,179,32,3,13,14029.21,0.07,0.06,N,O,1995-10-24,1995-12-12,1995-11-14,COLLECT COD,FOB,s kindle blithely regular accounts.
2685,2658,920,89,4,22,40060.24,0.04,0.04,N,O,1995-12-02,1995-11-03,1995-12-26,DELIVER IN PERSON,SHIP, dependencies. blithely pending foxes abou
2686,2658,68,69,5,45,43562.7,0.03,0.01,N,O,1995-11-02,1995-11-08,1995-11-29,DELIVER IN PERSON,MAIL,e special requests. quickly ex
2687,2658,1468,8,6,27,36975.42,0.05,0.07,N,O,1995-09-26,1995-12-08,1995-09-30,NONE,AIR,ecial packages use abov
2688,2659,418,6,1,28,36915.48,0.08,0.05,A,F,1994-03-17,1994-01-24,1994-03-19,NONE,FOB,idle tithes
2689,2659,423,11,2,21,27791.82,0.0,0.0,A,F,1993-12-23,1994-02-10,1994-01-17,DELIVER IN PERSON,RAIL,y beyond the furiously even co
2690,2659,1346,61,3,24,29936.16,0.04,0.03,R,F,1994-03-28,1994-02-20,1994-04-05,DELIVER IN PERSON,REG AIR, haggle carefully 
2691,2659,1181,54,4,2,2164.36,0.0,0.08,R,F,1994-02-19,1994-03-12,1994-02-21,NONE,MAIL,sts above the fluffily express fo
2692,2659,62,38,5,9,8658.54,0.08,0.03,A,F,1994-02-07,1994-03-17,1994-03-04,DELIVER IN PERSON,AIR,ly final packages sleep ac
2693,2660,478,66,1,17,23433.99,0.0,0.05,N,O,1995-08-18,1995-09-13,1995-09-17,NONE,SHIP,al pinto beans wake after the furious
2694,2661,1772,73,1,31,51886.87,0.03,0.02,N,O,1997-04-07,1997-03-10,1997-04-23,TAKE BACK RETURN,AIR,e ironicall
2695,2661,1025,96,2,22,20372.44,0.08,0.02,N,O,1997-03-14,1997-03-17,1997-04-08,COLLECT COD,REG AIR, foxes affix quickly ironic request
2696,2661,662,94,3,11,17189.26,0.0,0.08,N,O,1997-04-14,1997-02-11,1997-05-05,TAKE BACK RETURN,FOB,equests are a
2697,2661,1362,39,4,41,51797.76,0.06,0.02,N,O,1997-03-06,1997-03-27,1997-03-15,DELIVER IN PERSON,AIR,iously ironically ironic requests. 
2698,2662,1017,53,1,43,39474.43,0.09,0.07,N,O,1996-11-24,1996-11-04,1996-12-08,NONE,RAIL,. slyly specia
2699,2662,1275,76,2,8,9410.16,0.02,0.07,N,O,1996-09-10,1996-10-09,1996-09-21,TAKE BACK RETURN,REG AIR,ajole carefully. sp
2700,2662,11,37,3,6,5466.06,0.02,0.0,N,O,1996-11-30,1996-09-20,1996-12-03,DELIVER IN PERSON,REG AIR,olites cajole quickly along the b
2701,2662,298,99,4,34,40741.86,0.06,0.07,N,O,1996-10-04,1996-11-05,1996-10-19,NONE,SHIP,ding theodolites use carefully. p
2702,2663,1133,42,1,35,36194.55,0.02,0.01,N,O,1995-12-11,1995-10-16,1996-01-07,TAKE BACK RETURN,REG AIR,tect. slyly fina
2703,2688,178,31,1,45,48517.65,0.08,0.08,R,F,1992-05-21,1992-04-14,1992-05-28,NONE,FOB,sits run carefully
2704,2688,145,46,2,46,48076.44,0.01,0.01,R,F,1992-05-24,1992-04-01,1992-05-26,COLLECT COD,TRUCK,elets. regular reque
2705,2688,889,23,3,30,53696.4,0.05,0.04,A,F,1992-04-18,1992-03-18,1992-05-18,TAKE BACK RETURN,RAIL,ithely final 
2706,2688,245,73,4,3,3435.72,0.0,0.03,R,F,1992-02-04,1992-03-18,1992-02-24,DELIVER IN PERSON,RAIL,e fluffily 
2707,2688,585,86,5,22,32682.76,0.02,0.05,R,F,1992-02-09,1992-04-09,1992-02-11,DELIVER IN PERSON,RAIL,"press, ironic excuses wake carefully id"
2708,2688,1483,84,6,42,58148.16,0.01,0.01,R,F,1992-04-29,1992-04-04,1992-05-17,TAKE BACK RETURN,FOB,lly even account
2709,2689,58,9,1,45,43112.25,0.02,0.04,R,F,1992-04-29,1992-06-22,1992-04-30,COLLECT COD,SHIP,e quickly. carefully silent
2710,2690,1391,68,1,44,56865.16,0.05,0.06,N,O,1996-05-30,1996-05-19,1996-06-26,NONE,REG AIR,ly alongside of th
2711,2690,510,11,2,50,70525.5,0.03,0.03,N,O,1996-06-13,1996-05-22,1996-06-14,DELIVER IN PERSON,MAIL, doubt careful
2712,2690,1245,46,3,45,51580.8,0.02,0.07,N,O,1996-05-23,1996-06-02,1996-05-29,DELIVER IN PERSON,MAIL,ounts. slyly regular dependencies wa
2713,2690,1945,46,4,12,22163.28,0.04,0.07,N,O,1996-07-18,1996-06-03,1996-07-25,NONE,AIR,"nal, regular atta"
2714,2690,852,52,5,30,52585.5,0.01,0.08,N,O,1996-05-20,1996-06-01,1996-06-04,TAKE BACK RETURN,SHIP,d accounts above the express req
2715,2690,1881,11,6,3,5348.64,0.07,0.01,N,O,1996-07-04,1996-05-28,1996-07-06,TAKE BACK RETURN,RAIL,. final reques
2716,2690,787,84,7,35,59072.3,0.05,0.06,N,O,1996-07-25,1996-05-14,1996-08-03,COLLECT COD,FOB,y silent pinto be
2717,2691,906,41,1,11,19875.9,0.04,0.07,R,F,1992-06-21,1992-06-08,1992-07-09,COLLECT COD,FOB,leep alongside of the accounts. slyly ironi
2718,2691,478,66,2,2,2756.94,0.0,0.07,R,F,1992-05-10,1992-06-04,1992-05-11,TAKE BACK RETURN,TRUCK,s cajole at the blithely ironic warthog
2719,2691,1613,14,3,16,24233.76,0.09,0.03,R,F,1992-06-11,1992-07-29,1992-06-29,NONE,RAIL,bove the even foxes. unusual theodoli
2720,2691,1658,41,4,1,1559.65,0.08,0.0,A,F,1992-08-11,1992-06-07,1992-08-16,NONE,SHIP,egular instructions b
2721,2692,162,89,1,3,3186.48,0.1,0.04,N,O,1998-02-25,1998-01-29,1998-03-27,TAKE BACK RETURN,MAIL,"equests. bold, even foxes haggle slyl"
2722,2692,1136,9,2,21,21779.73,0.03,0.05,N,O,1998-03-11,1998-02-11,1998-03-19,NONE,SHIP,"posits. final, express requests nag furi"
2723,2693,87,88,1,26,25664.08,0.04,0.0,N,O,1996-09-14,1996-10-07,1996-10-03,COLLECT COD,MAIL,cajole alo
2724,2693,1019,20,2,43,39560.43,0.03,0.04,N,O,1996-10-24,1996-10-24,1996-11-03,TAKE BACK RETURN,TRUCK,as are according to th
2725,2694,1526,67,1,30,42825.6,0.02,0.06,N,O,1996-06-20,1996-06-01,1996-07-15,NONE,TRUCK,oxes. never iro
2726,2694,1569,50,2,35,51469.6,0.07,0.03,N,O,1996-05-24,1996-06-01,1996-05-25,NONE,RAIL,atelets past the furiously final deposits 
2727,2694,181,8,3,15,16217.7,0.08,0.02,N,O,1996-06-30,1996-05-01,1996-07-25,TAKE BACK RETURN,REG AIR,e blithely even platelets. special wa
2728,2694,195,74,4,12,13142.28,0.0,0.05,N,O,1996-04-24,1996-04-22,1996-05-14,DELIVER IN PERSON,RAIL,foxes atop the hockey pla
2729,2694,1072,73,5,10,9730.7,0.08,0.08,N,O,1996-06-23,1996-05-28,1996-06-27,COLLECT COD,REG AIR,fluffily fluffy accounts. even packages hi
2730,2695,1833,20,1,21,36431.43,0.07,0.0,N,O,1996-10-04,1996-11-02,1996-10-21,NONE,MAIL,y regular pinto beans. evenly regular packa
2731,2695,189,68,2,44,47923.92,0.09,0.07,N,O,1996-10-05,1996-10-10,1996-11-01,NONE,MAIL,ts. busy platelets boost
2732,2695,1435,14,3,21,28065.03,0.02,0.07,N,O,1996-09-13,1996-09-25,1996-10-13,NONE,TRUCK,s. furiously ironic platelets ar
2733,2695,574,5,4,16,23593.12,0.08,0.08,N,O,1996-11-16,1996-10-05,1996-11-22,NONE,TRUCK,its. theodolites sleep slyly
2734,2695,853,53,5,40,70154.0,0.02,0.03,N,O,1996-11-02,1996-10-26,1996-11-14,NONE,FOB,ructions. pending
2735,2720,445,46,1,5,6727.2,0.1,0.06,A,F,1993-06-24,1993-08-08,1993-07-08,NONE,FOB,ously ironic foxes thrash
2736,2720,167,68,2,42,44820.72,0.09,0.03,R,F,1993-07-25,1993-07-23,1993-08-23,COLLECT COD,REG AIR,fter the inst
2737,2720,1191,92,3,50,54609.5,0.1,0.02,A,F,1993-08-10,1993-07-29,1993-09-06,NONE,SHIP,l requests. deposits nag furiously
2738,2720,1090,26,4,49,48563.41,0.06,0.02,A,F,1993-07-09,1993-07-14,1993-07-13,NONE,REG AIR, accounts. fluffily bold pack
2739,2720,1209,47,5,27,29975.4,0.04,0.0,R,F,1993-06-29,1993-08-06,1993-07-28,NONE,TRUCK,eas. carefully regular 
2740,2721,1825,69,1,49,84614.18,0.0,0.08,N,O,1996-02-14,1996-04-26,1996-03-02,DELIVER IN PERSON,AIR,ounts poach carefu
2741,2721,27,28,2,2,1854.04,0.02,0.05,N,O,1996-02-13,1996-03-14,1996-02-28,TAKE BACK RETURN,TRUCK, slyly final requests against 
2742,2722,1239,51,1,21,23944.83,0.09,0.01,A,F,1994-07-29,1994-06-26,1994-08-09,NONE,RAIL,e carefully around the furiously ironic pac
2743,2722,1458,59,2,15,20391.75,0.05,0.03,R,F,1994-07-02,1994-06-01,1994-07-13,COLLECT COD,AIR,refully final asympt
2744,2722,338,67,3,16,19813.28,0.04,0.06,R,F,1994-05-25,1994-06-09,1994-05-26,NONE,MAIL,"ts besides the fluffy,"
2745,2723,127,54,1,47,48274.64,0.09,0.07,N,O,1995-12-05,1995-11-19,1995-12-11,TAKE BACK RETURN,AIR,furiously r
2746,2723,320,77,2,10,12203.2,0.06,0.08,N,O,1995-11-27,1995-11-29,1995-12-12,DELIVER IN PERSON,MAIL,"al, special r"
2747,2723,1618,60,3,2,3039.22,0.1,0.01,N,O,1995-11-09,1995-11-10,1995-11-14,TAKE BACK RETURN,FOB, courts boost quickly about th
2748,2723,813,80,4,12,20565.72,0.01,0.05,N,O,1995-12-24,1995-11-15,1996-01-17,DELIVER IN PERSON,RAIL,"bold foxes are bold packages. regular, fin"
2749,2723,1281,82,5,40,47291.2,0.09,0.05,N,O,1995-11-17,1995-11-22,1995-11-18,TAKE BACK RETURN,MAIL,unwind fluffily carefully regular realms.
2750,2724,914,49,1,47,85300.77,0.09,0.01,A,F,1994-11-23,1994-11-13,1994-12-03,COLLECT COD,TRUCK,unusual patterns nag. special p
2751,2724,1470,71,2,21,28800.87,0.09,0.02,A,F,1994-11-25,1994-10-15,1994-12-07,COLLECT COD,RAIL,as. carefully regular dependencies wak
2752,2724,499,58,3,22,30788.78,0.04,0.06,A,F,1994-09-19,1994-11-18,1994-10-17,TAKE BACK RETURN,TRUCK,express fo
2753,2724,345,2,4,1,1245.34,0.07,0.03,A,F,1994-12-26,1994-11-27,1995-01-07,NONE,MAIL,lyly carefully blithe theodolites-- pl
2754,2724,1481,60,5,29,40091.92,0.05,0.06,A,F,1995-01-10,1994-11-17,1995-02-04,COLLECT COD,MAIL,l requests hagg
2755,2725,1176,13,1,23,24774.91,0.1,0.08,R,F,1994-08-25,1994-06-22,1994-08-28,TAKE BACK RETURN,REG AIR,y regular deposits. brave foxes 
2756,2725,49,75,2,41,38910.64,0.01,0.0,R,F,1994-07-05,1994-06-29,1994-08-02,DELIVER IN PERSON,TRUCK,ns sleep furiously c
2757,2725,1884,14,3,15,26788.2,0.07,0.03,R,F,1994-08-06,1994-08-09,1994-08-15,TAKE BACK RETURN,AIR,? furiously regular a
2758,2726,7,58,1,50,45350.0,0.0,0.06,R,F,1993-03-04,1993-01-29,1993-03-28,COLLECT COD,TRUCK, furiously bold theodolites
2759,2727,1510,91,1,3,4234.53,0.03,0.01,N,O,1998-06-18,1998-06-06,1998-06-23,NONE,RAIL, the carefully regular foxes u
2760,2752,308,65,1,41,49540.3,0.02,0.05,A,F,1994-03-02,1994-01-31,1994-03-06,DELIVER IN PERSON,AIR,tructions hag
2761,2752,69,20,2,29,28102.74,0.02,0.04,R,F,1994-01-22,1994-01-08,1994-01-28,COLLECT COD,TRUCK,gly blithely re
2762,2752,551,52,3,4,5806.2,0.08,0.0,A,F,1993-12-14,1994-02-13,1994-01-05,DELIVER IN PERSON,TRUCK,"telets haggle. regular, final "
2763,2752,232,14,4,40,45289.2,0.09,0.06,A,F,1994-01-24,1994-01-18,1994-02-22,DELIVER IN PERSON,MAIL,into beans are after the sly
2764,2752,1260,35,5,22,25547.72,0.03,0.04,A,F,1994-03-20,1994-02-08,1994-04-01,TAKE BACK RETURN,TRUCK,equests nag. regular dependencies are furio
2765,2752,1694,18,6,21,33509.49,0.09,0.05,R,F,1994-01-01,1994-01-24,1994-01-24,COLLECT COD,SHIP, along the quickly 
2766,2752,1990,91,7,38,71895.62,0.08,0.0,R,F,1994-02-23,1993-12-23,1994-03-24,DELIVER IN PERSON,SHIP,es boost. slyly silent ideas
2767,2753,129,8,1,6,6174.72,0.1,0.04,A,F,1993-12-30,1994-01-28,1994-01-29,COLLECT COD,TRUCK,s accounts
2768,2753,471,59,2,40,54858.8,0.03,0.05,A,F,1994-01-06,1994-02-13,1994-02-03,DELIVER IN PERSON,SHIP,latelets kindle slyly final depos
2769,2753,887,54,3,30,53636.4,0.0,0.07,A,F,1994-01-26,1994-01-29,1994-02-02,NONE,RAIL,ans wake fluffily blithely iro
2770,2753,309,38,4,7,8465.1,0.07,0.03,R,F,1994-02-11,1994-01-22,1994-03-10,DELIVER IN PERSON,AIR,xpress ideas detect b
2771,2753,1369,70,5,36,45732.96,0.04,0.08,R,F,1994-03-15,1994-01-03,1994-04-03,DELIVER IN PERSON,SHIP,gle slyly final c
2772,2753,493,94,6,17,23689.33,0.01,0.08,A,F,1994-03-08,1994-01-17,1994-03-11,TAKE BACK RETURN,REG AIR, carefully bold deposits sublate s
2773,2753,1472,73,7,20,27469.4,0.01,0.06,R,F,1994-02-24,1994-02-04,1994-03-23,DELIVER IN PERSON,FOB, express pack
2774,2754,1481,21,1,4,5529.92,0.05,0.08,A,F,1994-07-13,1994-05-15,1994-08-02,NONE,REG AIR,blithely silent requests. regular depo
2775,2754,1767,94,2,19,31706.44,0.01,0.07,A,F,1994-06-27,1994-05-06,1994-06-28,NONE,FOB,latelets hag
2776,2755,915,50,1,19,34502.29,0.1,0.0,R,F,1992-02-11,1992-03-15,1992-02-14,TAKE BACK RETURN,MAIL,furiously special deposits
2777,2755,235,90,2,11,12487.53,0.03,0.08,A,F,1992-04-12,1992-05-07,1992-04-21,COLLECT COD,RAIL,egular excuses sleep carefully.
2778,2755,638,70,3,21,32311.23,0.08,0.04,R,F,1992-02-13,1992-04-20,1992-03-02,NONE,AIR,furious re
2779,2755,1301,16,4,5,6011.5,0.01,0.0,A,F,1992-02-27,1992-04-07,1992-03-09,TAKE BACK RETURN,AIR,e the furi
